zpid,street,zipcode,city,state,latitude,longitude,amount,lowAmount,highAmount,percentile,elemSchool,midSchool
15118187,2140 15th Ave,94116,San Francisco,CA,37.747998,-122.471349,1034041,899616,1199488,82,West Portal Elementary,Herbert Hoover Middle
15118197,2151 14th Ave,94116,San Francisco,CA,37.747906,-122.470901,1205610,1085049,1362339,89,West Portal Elementary,Herbert Hoover Middle
15118220,2179 Funston Ave,94116,San Francisco,CA,37.747405,-122.469737,1328520,1155812,1580939,93,West Portal Elementary,Herbert Hoover Middle
15118262,2107 12th Ave,94116,San Francisco,CA,37.748756,-122.468732,882711,767959,962155,64,West Portal Elementary,Herbert Hoover Middle
15118274,2155 12th Ave,94116,San Francisco,CA,37.747931,-122.468738,1022716,910217,1155669,81,West Portal Elementary,Herbert Hoover Middle
15118278,2171 12th Ave,94116,San Francisco,CA,37.747656,-122.468719,872473,767776,933546,63,West Portal Elementary,Herbert Hoover Middle
15118283,2191 12th Ave,94116,San Francisco,CA,37.747314,-122.468695,916730,797555,1008403,70,West Portal Elementary,Herbert Hoover Middle
15118286,2136 Funston Ave,94116,San Francisco,CA,37.748255,-122.469175,1355917,1179648,1545745,93,West Portal Elementary,Herbert Hoover Middle
15118296,323 Quintara St,94116,San Francisco,CA,37.748714,-122.468915,692385,609299,761623,12,West Portal Elementary,Herbert Hoover Middle
15118315,2283 9th Ave,94116,San Francisco,CA,37.747386,-122.466908,836629,702768,953757,54,West Portal Elementary,Herbert Hoover Middle
15118355,209 Quintara St,94116,San Francisco,CA,37.748768,-122.467688,873888,769021,961277,63,West Portal Elementary,Herbert Hoover Middle
15118359,115 Mendosa Ave,94116,San Francisco,CA,37.74784,-122.466667,1526261,1251534,1862038,96,West Portal Elementary,Herbert Hoover Middle
15118372,179 Mendosa Ave,94116,San Francisco,CA,37.748552,-122.467603,1628960,1449774,1808146,97,West Portal Elementary,Herbert Hoover Middle
15118379,139 Quintara St,94116,San Francisco,CA,37.748796,-122.467032,958974,834307,1074051,75,West Portal Elementary,Herbert Hoover Middle
15118383,115 Quintara St,94116,San Francisco,CA,37.748812,-122.466683,935824,823525,1066839,72,West Portal Elementary,Herbert Hoover Middle
15118405,2211 47th Ave,94116,San Francisco,CA,37.745168,-122.506177,707638,629798,792555,17,Ulloa Elementary,Herbert Hoover Middle
15118436,2266 48th Ave,94116,San Francisco,CA,37.744186,-122.506612,1051371,883152,1198563,83,Ulloa Elementary,Herbert Hoover Middle
15118451,2206 48th Ave,94116,San Francisco,CA,37.745211,-122.506769,741999,652959,816199,28,Ulloa Elementary,Herbert Hoover Middle
15118466,2231 46th Ave,94116,San Francisco,CA,37.744869,-122.505168,818667,712240,900534,49,Ulloa Elementary,Herbert Hoover Middle
15118502,2218 47th Ave,94116,San Francisco,CA,37.745056,-122.505598,742376,638443,831461,28,Ulloa Elementary,Herbert Hoover Middle
15118512,2215 45th Ave,94116,San Francisco,CA,37.745193,-122.504051,942695,820145,1093526,73,Ulloa Elementary,Herbert Hoover Middle
15118517,2235 45th Ave,94116,San Francisco,CA,37.744847,-122.504092,754538,663993,814901,31,Ulloa Elementary,Herbert Hoover Middle
15118518,2239 45th Ave,94116,San Francisco,CA,37.744779,-122.504087,871373,758095,958510,62,Ulloa Elementary,Herbert Hoover Middle
15118526,2271 45th Ave,94116,San Francisco,CA,37.74423,-122.504048,791227,704192,862437,42,Ulloa Elementary,Herbert Hoover Middle
15118528,2279 45th Ave,94116,San Francisco,CA,37.744093,-122.504039,816192,701925,914135,48,Ulloa Elementary,Herbert Hoover Middle
15118536,2290 46th Ave,94116,San Francisco,CA,37.743867,-122.504491,701943,631749,772137,15,Ulloa Elementary,Herbert Hoover Middle
15118544,2254 46th Ave,94116,San Francisco,CA,37.744486,-122.504483,655015,563313,753267,3,Ulloa Elementary,Herbert Hoover Middle
15118547,2242 46th Ave,94116,San Francisco,CA,37.744692,-122.504497,1143714,995031,1315271,87,Ulloa Elementary,Herbert Hoover Middle
15118574,2259 44th Ave,94116,San Francisco,CA,37.744483,-122.502991,749207,651810,816636,30,Sunset Elementary,A. P. Giannini Middle
15118580,3320 Santiago St,94116,San Francisco,CA,37.743931,-122.503048,664764,578345,744536,5,Sunset Elementary,A. P. Giannini Middle
15118584,2286 45th Ave,94116,San Francisco,CA,37.743984,-122.503407,985310,837514,1133106,78,Sunset Elementary,A. P. Giannini Middle
15118589,2258 45th Ave,94116,San Francisco,CA,37.744465,-122.503406,709561,624414,780517,18,Sunset Elementary,A. P. Giannini Middle
